ISO3,Country,Year,A200 Domestic public security,A2011 Control over the police,A2041 Violent activities: criminal organisations,A305 Functioning of the justice system,A600 Security of property rights,A601 Security of private contracts,A602 Trade justice,A604 Termination of contracts by the State,B607 Efficiency of land tenure policies,B608 Land tenure insecurity
THA,Thailand,2016,3.50,3,3,3.00,2.25,2.50,3.00,1.00,3.00,3.00
TGO,Togo,2016,4.00,4,3,2.00,2.50,2.50,1.50,1.00,0.50,1.50
TUN,Tunisia,2016,2.50,2,1,2.00,2.25,2.00,1.75,1.00,,1.25
TUR,Turkey,2016,2.00,2,2,1.60,2.75,3.00,2.25,2.50,1.50,0.50
TKM,Turkmenistan,2016,4.00,4,4,,1.50,,,,1.00,2.25
UKR,Ukraine,2016,2.00,2,1,1.80,1.50,2.00,2.25,2.50,1.50,1.75
URY,Uruguay,2016,3.50,4,2,2.80,2.25,2.50,2.75,1.00,3.00,2.25
VEN,"Venezuela, RB",2016,0.00,0,2,0.80,1.25,1.00,0.75,2.00,2.50,1.00
VNM,Vietnam,2016,4.00,4,3,1.80,2.25,3.00,1.75,1.00,0.50,0.50
ZWE,Zimbabwe,2016,2.00,3,4,1.00,1.75,1.00,1.00,1.00,1.00,1.00
